degree;timeSat;timeImp;sat
643;1638;0;true
644;1988;0;true
645;1835;0;true
646;1821;0;true
647;1888;0;true
648;1681;0;true
649;2048;0;true
650;1914;0;true
651;1796;0;true
652;1831;0;true
653;1749;0;true
654;1844;0;true
655;1893;0;true
656;1883;0;true
657;1906;0;true
658;1882;0;true
659;1835;0;true
660;1830;0;true
661;1734;1;true
662;1877;0;true
663;1872;0;true
664;1924;0;true
665;1988;0;true
666;1867;0;true
667;1701;0;true
668;1864;0;true
669;1840;0;true
670;1923;0;true
671;1927;0;true
672;1866;0;true
673;1959;0;true
674;2031;0;true
675;1906;0;true
676;1758;0;true
677;1857;0;true
678;1864;0;true
679;2026;0;true
680;1962;0;true
681;1926;0;true
682;1969;0;true
683;1929;0;true
684;1895;0;true
685;1885;0;true
686;1897;0;true
687;1972;0;true
688;1924;0;true
689;1914;0;true
690;1886;0;true
691;1815;0;true
692;1943;0;true
693;1940;0;true
694;2022;0;true
695;2060;0;true
696;2000;0;true
697;1936;0;true
698;1867;0;true
699;1957;0;true
700;1905;0;true
701;1908;0;true
702;1932;0;true
703;2065;0;true
704;1981;0;true
705;1948;0;true
706;2064;0;true
707;2030;0;true
708;1939;0;true
709;1959;0;true
710;2022;0;true
711;2026;0;true
712;1961;0;true
713;2081;0;true
714;2146;0;true
715;2195;0;true
716;2133;0;true
717;2222;0;true
718;2093;0;true
719;2000;0;true
720;2091;0;true
721;2220;0;true
722;2218;0;true
723;2022;0;true
724;2237;0;true
725;2055;0;true
726;2156;0;true
727;2068;0;true
728;2149;0;true
729;2137;0;true
730;2140;0;true
731;2013;0;true
732;2144;0;true
733;2176;0;true
734;2114;0;true
735;2194;0;true
736;2083;0;true
737;2212;0;true
738;2149;0;true
739;2154;0;true
740;2090;0;true
741;2181;0;true
742;2107;0;true
743;2155;0;true
744;2200;0;true
745;1847;0;true
746;2215;0;true
747;2249;0;true
748;2057;0;true
749;2011;0;true
750;2199;0;true
751;2203;0;true
752;2158;0;true
753;2167;0;true
754;2078;0;true
755;2171;0;true
756;2267;0;true
757;2225;0;true
758;2097;0;true
759;2049;0;true
760;2171;0;true
761;2137;0;true
762;2086;0;true
763;2230;0;true
764;2161;0;true
765;2286;0;true
766;2316;0;true
767;2204;0;true
768;2344;0;true
769;2311;0;true
770;2241;0;true
771;2211;0;true
772;2364;0;true
773;2390;0;true
774;2329;0;true
775;2336;0;true
776;2310;0;true
777;2264;0;true
778;2358;0;true
779;2426;0;true
780;2376;0;true
781;2262;0;true
782;2262;0;true
783;2299;0;true
784;2245;0;true
785;2350;0;true
786;2375;0;true
787;2101;0;true
788;2227;0;true
789;2202;0;true
790;2066;0;true
791;2314;0;true
792;2335;0;true
793;2275;0;true
794;2337;0;true
795;2297;0;true
796;2432;0;true
797;2197;0;true
798;2275;0;true
799;2311;0;true
800;2368;0;true
801;2385;0;true
802;2362;0;true
803;2199;0;true
804;2451;0;true
805;2243;0;true
806;2280;0;true
807;2256;0;true
808;2411;0;true
809;2372;0;true
810;2327;0;true
811;2302;0;true
812;2168;0;true
813;2164;0;true
814;2230;0;true
815;2387;0;true
816;2409;0;true
817;2424;0;true
818;2286;0;true
819;2173;0;true
820;2278;0;true
821;2337;0;true
822;2336;0;true
823;2432;0;true
824;2171;0;true
825;2214;0;true
826;2463;0;true
827;2437;0;true
828;2363;0;true
829;2197;0;true
830;2314;0;true
831;2455;0;true
832;2426;0;true
833;2247;0;true
834;2401;0;true
835;2375;0;true
836;2315;0;true
837;2182;0;true
838;2464;0;true
839;2465;0;true
840;2347;0;true
841;2509;0;true
842;2330;0;true
843;2509;0;true
844;2362;0;true
845;2422;0;true
846;2552;0;true
847;2442;0;true
848;2499;0;true
849;2354;0;true
850;2511;0;true
851;2522;0;true
852;2458;0;true
853;2490;0;true
854;2641;0;true
855;2374;0;true
856;2355;0;true
857;2454;0;true
858;2426;0;true
859;2426;0;true
860;2533;0;true
861;2340;0;true
862;2534;0;true
863;2412;0;true
864;2533;0;true
865;2581;0;true
866;2380;0;true
867;2654;0;true
868;2550;0;true
869;2328;0;true
870;2473;0;true
871;2427;0;true
872;2414;0;true
873;2530;0;true
874;2538;0;true
875;2574;0;true
876;2523;0;true
877;2418;0;true
878;2432;0;true
879;2490;0;true
880;2423;0;true
881;2592;0;true
882;2610;0;true
883;2528;0;true
884;2417;0;true
885;2506;0;true
886;2473;0;true
887;2476;0;true
888;2584;0;true
889;2579;0;true
890;2614;0;true
891;2347;0;true
892;2596;0;true
893;2724;0;true
894;2481;0;true
895;2675;0;true
896;2694;0;true
897;2754;0;true
898;2648;0;true
899;2419;0;true
900;2444;0;true
901;2713;0;true
902;2423;0;true
903;2660;0;true
904;2768;0;true
905;2691;0;true
906;2503;0;true
907;2624;0;true
908;2589;0;true
909;2675;0;true
910;2408;0;true
911;2838;0;true
912;2697;0;true
913;2570;0;true
914;2690;0;true
915;2458;0;true
916;2663;0;true
917;2636;0;true
918;2687;0;true
919;2615;0;true
920;2550;0;true
921;2577;0;true
922;2538;0;true
923;2596;0;true
924;2597;0;true
925;2743;0;true
926;2810;0;true
927;2717;0;true
928;2504;0;true
929;2599;0;true
930;2859;0;true
931;2704;0;true
932;2393;0;true
933;2702;0;true
934;2727;0;true
935;2699;0;true
936;2789;0;true
937;2564;0;true
938;2851;0;true
939;2873;0;true
940;2755;0;true
941;2866;0;true
942;2428;0;true
943;2347;0;true
944;2719;0;true
945;2713;0;true
946;2865;0;true
947;2881;0;true
948;3023;0;true
949;2874;0;true
950;2447;0;true
951;2588;0;true
952;2728;0;true
953;2824;0;true
954;2990;0;true
955;2771;0;true
956;2711;0;true
957;2615;0;true
958;2791;0;true
959;2570;0;true
960;2825;0;true
961;2772;0;true
962;2961;0;true
963;2794;0;true
964;2960;0;true
965;2750;0;true
966;2777;0;true
967;2716;0;true
968;2801;0;true
969;2900;0;true
970;2617;0;true
971;2857;0;true
972;2823;0;true
973;2790;0;true
974;2805;0;true
975;2621;0;true
976;2915;0;true
977;2905;0;true
978;2925;0;true
979;2756;0;true
980;2828;0;true
981;2968;0;true
982;2786;0;true
983;2870;0;true
984;2874;0;true
985;2960;0;true
986;2931;0;true
987;2601;0;true
988;2791;0;true
989;2815;0;true
990;2903;0;true
991;2926;0;true
992;2647;0;true
993;2861;0;true
994;2930;0;true
995;2840;0;true
996;2928;0;true
997;2511;0;true
998;2651;0;true
999;2671;0;true
1000;2332;0;true
